particle_id,longitude,latitude,mass,water_fraction,age_hours
149,70.73635336615015,20.856710708533928,1.0,0.0,36.0
150,70.72257007218018,20.8538118693034,1.0,0.0,36.0
151,70.75308463762613,20.867902401380285,1.0,0.0,36.0
152,70.74027958850891,20.844049291414724,1.0,0.0,36.0
153,70.70764806515005,20.8583288642731,1.0,0.0,36.0
154,70.76402141866696,20.833071878291197,1.0,0.0,36.0
155,70.74547657707944,20.846389163027375,1.0,0.0,36.0
156,70.71213547251601,20.8290727751585,1.0,0.0,36.0
157,70.73263717724583,20.8545011823564,1.0,0.0,36.0
158,70.74386596600051,20.868218893629322,1.0,0.0,36.0
159,70.738412132288,20.871715988821883,1.0,0.0,36.0
160,70.75040881634492,20.858817588395237,1.0,0.0,36.0
161,70.76123242585992,20.837171264089566,1.0,0.0,36.0
162,70.72327105601138,20.844804197622445,1.0,0.0,36.0
163,70.73248844382351,20.833393722160263,1.0,0.0,36.0
164,70.75136909902538,20.844608541318546,1.0,0.0,36.0
165,70.72177069404536,20.830290408406494,1.0,0.0,36.0
166,70.73557372513055,20.85302232995766,1.0,0.0,36.0
167,70.71071323245746,20.85416719692239,1.0,0.0,36.0
168,70.7477299543957,20.87230155583545,1.0,0.0,36.0
169,70.72171182992813,20.854521803160406,1.0,0.0,36.0
170,70.72937900818766,20.86451589453035,1.0,0.0,36.0
171,70.75266498573819,20.838556464483172,1.0,0.0,36.0
172,70.74792273500084,20.82834234124613,1.0,0.0,36.0
173,70.75315779365057,20.838193926298956,1.0,0.0,36.0
174,70.73880252582435,20.87743973123107,1.0,0.0,36.0
175,70.76393375085823,20.87087851467207,1.0,0.0,36.0
176,70.72178961152487,20.818689787458787,1.0,0.0,36.0
177,70.74906380493928,20.839071907227943,1.0,0.0,36.0
178,70.75427814093544,20.820135152905102,1.0,0.0,36.0
179,70.741889802139,20.86485373974643,1.0,0.0,36.0
180,70.72861724453094,20.805039014547138,1.0,0.0,36.0
181,70.74844863330573,20.859173600120904,1.0,0.0,36.0
182,70.73627968255006,20.841392577820383,1.0,0.0,36.0
183,70.72911320393962,20.844032621345427,1.0,0.0,36.0
184,70.71875964857702,20.83623253873285,1.0,0.0,36.0
185,70.73386887908191,20.871255669962274,1.0,0.0,36.0
186,70.73702010309387,20.83488811741378,1.0,0.0,36.0
187,70.74702793356153,20.805219129782202,1.0,0.0,36.0
188,70.74117949305506,20.843994758242143,1.0,0.0,36.0
189,70.73725092804227,20.832079231481654,1.0,0.0,36.0
190,70.76302829474031,20.837179387068815,1.0,0.0,36.0
191,70.72053701883932,20.84041034537916,1.0,0.0,36.0
192,70.74536462998896,20.83777406575564,1.0,0.0,36.0
193,70.69773546930898,20.8349462012985,1.0,0.0,36.0
194,70.73438558735394,20.861221440326073,1.0,0.0,36.0
195,70.74078963730612,20.825323665611027,1.0,0.0,36.0
196,70.72144213788248,20.848706503640635,1.0,0.0,36.0
